Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
Место под солнцем,False,1951,драма,США,7.2
Американец в Париже,True,1951,мюзикл,США,6.7
Решение перед рассветом,False,1951,драма,США,6.3
Сансет бульвар,False,1950,фильм-нуар,США,8.0
Всё о Еве,True,1950,драма,США,8.0
Отец невесты,False,1950,драма,США,7.3
Копи царя Соломона,False,1950,боевик,США,6.7
Рожденная вчера,False,1950,драма,США,6.6
Наследница,False,1949,драма,США,7.6
Письмо трем женам,False,1949,драма,США,7.2
Вертикальный взлет,False,1949,драма,США,6.9
Вся королевская рать,True,1949,фильм-нуар,США,6.8
Поле битвы,False,1949,боевик,США,6.4
Сокровища Сьерра Мадре,False,1947,драма,США,8.0
Гамлет,True,1948,драма,Великобритания,7.5
Красные башмачки,False,1948,драма,Великобритания,7.5
Змеиная яма,False,1948,драма,США,7.2
Джонни Белинда,False,1948,драма,США,6.9
Чудо на 34-й улице,False,1947,фэнтези,США,7.8
Жена епископа,False,1947,фэнтези,США,7.2
Большие надежды,False,1946,драма,Великобритания,7.1
Джентльменское соглашение,True,1947,драма,США,7.0
Перекрестный огонь,False,1947,фильм-нуар,США,6.3
Эта замечательная жизнь,False,1947,фэнтези,США,8.4
Лучшие годы нашей жизни,True,1946,драма,США,7.8
Олененок,False,1946,драма,США,6.9
На краю лезвия,False,1946,драма,США,6.8
Король Генрих V,False,1944,драма,Великобритания,6.8
Завороженный,False,1945,фильм-нуар,США,7.7
Потерянный уик-энд,True,1945,драма,США,7.7
Милдред Пирс,False,1945,фильм-нуар,США,7.6
Поднять якоря,False,1945,мюзикл,США,7.6
Колокола Святой Марии,False,1945,драма,США,6.6
Двойная страховка,False,1944,фильм-нуар,США,7.9
Газовый свет,False,1944,фильм-нуар,США,7.9
"С тех пор, как ты ушел",False,1944,драма,США,6.9
Идти своим путем,True,1944,драма,США,6.9
Уилсон,False,1944,драма,США,5.7
Касабланка,True,1942,драма,США,8.0
Случай в Окс-Боу,False,1942,драма,США,7.5
По ком звонит колокол,False,1943,драма,США,7.1
Песня Бернадетт,False,1943,драма,США,7.0
Небеса могут подождать,False,1943,фэнтези,США,6.9
"Чем больше, тем веселее",False,1943,мелодрама,США,6.8
Мадам Кюри,False,1943,биография,США,6.5
В котором мы служим,False,1942,драма,Великобритания,6.4
Дозор на Рейне,False,1943,драма,США,6.0
Человеческая комедия,False,1943,драма,США,5.8
Гордость янки,False,1942,драма,США,7.0
Весь город говорит,False,1942,триллер,США,7.0
Плоды случайности,False,1942,драма,США,7.0
Миссис Минивер,True,1942,драма,США,7.0
Великолепие Амберсонов,False,1942,драма,США,6.9
49-я параллель,False,1941,триллер,Великобритания,6.7
Янки Дудл Денди,False,1942,мюзикл,США,6.4
Кингс Роу,False,1942,драма,США,6.3
Остров Уэйк,False,1942,боевик,США,5.8
Крысолов,False,1942,драма,США,5.6
Гражданин Кейн,False,1941,драма,США,7.7
Мальтийский сокол,False,1941,фильм-нуар,США,7.7
Подозрение,False,1941,фильм-нуар,США,7.4
Маленькие лисички,False,1941,драма,США,7.3
Как зелена была моя долина,True,1941,драма,США,7.1
Сержант Йорк,False,1941,драма,США,7.0
Задержите рассвет,False,1941,драма,США,6.7
